Accel_x,Accel_y,Accel_z, 
-0.09,-0.04,1, 
-0.09,-0.04,1, 
-0.09,-0.04,1, 
-0.08,-0.04,1.01, 
-0.09,-0.04,1, 
-0.09,-0.04,1, 
-0.08,-0.04,1, 
-0.08,-0.04,1, 
-0.09,-0.04,0.99, 
-0.09,-0.04,1, 
-0.09,-0.03,1, 
-0.09,-0.03,1, 
-0.09,-0.03,1, 
-0.09,-0.04,1, 
-0.09,-0.04,1, 
-0.09,-0.04,1, 
-0.08,-0.04,1, 
-0.09,-0.04,1, 
-0.09,-0.04,1, 
-0.09,-0.04,1, 
-0.09,-0.04,1, 
-0.09,-0.04,1, 
-0.09,-0.03,1, 
-0.09,-0.04,0.99, 
-0.09,-0.04,0.99, 
-0.1,-0.04,0.99, 
-0.1,-0.04,0.99, 
-0.1,-0.04,1, 
-0.1,-0.04,1, 
-0.09,-0.04,1, 
-0.09,-0.04,1, 
-0.09,-0.04,1, 
-0.09,-0.04,1, 
-0.09,-0.04,1, 
-0.09,-0.04,1, 
-0.08,-0.04,1, 
-0.08,-0.04,1, 
-0.08,-0.04,1, 
-0.08,-0.04,1, 
-0.09,-0.04,1, 
-0.09,-0.04,1, 
-0.09,-0.04,1, 
-0.09,-0.04,1, 
-0.09,-0.04,1, 
-0.09,-0.04,1, 
-0.09,-0.04,1, 
-0.09,-0.04,1, 
-0.09,-0.04,1, 
-0.09,-0.04,1, 
-0.09,-0.04,1, 
-0.08,-0.04,1, 
-0.08,-0.04,1, 
-0.08,-0.03,1, 
-0.09,-0.03,1, 
-0.09,-0.05,0.99, 
-0.09,-0.06,1, 
-0.09,-0.05,0.99, 
-0.09,-0.06,1, 
-0.09,-0.06,1, 
-0.09,-0.05,1, 
-0.09,-0.06,1, 
-0.09,-0.06,1, 
-0.09,-0.06,0.99, 
-0.08,-0.07,1, 
-0.09,-0.07,1, 
-0.09,-0.07,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.07,-0.06,1, 
-0.07,-0.05,1, 
-0.07,-0.06,1, 
-0.06,-0.05,1, 
-0.06,-0.05,1, 
-0.06,-0.05,1, 
-0.06,-0.05,1, 
-0.07,-0.05,1, 
-0.07,-0.05,1, 
-0.07,-0.05,1, 
-0.07,-0.05,1, 
-0.07,-0.05,1, 
-0.07,-0.05,1, 
-0.07,-0.06,1, 
-0.07,-0.06,1, 
-0.07,-0.06,1, 
-0.07,-0.06,1, 
-0.07,-0.06,1, 
-0.07,-0.06,1, 
-0.07,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.09,-0.06,1, 
-0.09,-0.06,1, 
-0.09,-0.06,1, 
-0.09,-0.05,0.99, 
-0.09,-0.05,0.99, 
-0.09,-0.05,0.99, 
-0.09,-0.05,0.99, 
-0.1,-0.05,0.99, 
-0.1,-0.05,0.99, 
-0.1,-0.05,0.99, 
-0.09,-0.05,1, 
-0.09,-0.04,1, 
-0.09,-0.05,0.99, 
-0.09,-0.05,0.99, 
-0.09,-0.05,0.99, 
-0.09,-0.05,1, 
-0.09,-0.05,1, 
-0.09,-0.04,1, 
-0.09,-0.04,1, 
-0.09,-0.05,1, 
-0.09,-0.05,0.99, 
-0.09,-0.06,0.98, 
-0.09,-0.06,0.99, 
-0.09,-0.07,0.99, 
-0.09,-0.07,1, 
-0.1,-0.07,1, 
-0.1,-0.07,1, 
-0.1,-0.07,1, 
-0.11,-0.07,1, 
-0.11,-0.07,0.99, 
-0.11,-0.07,0.99, 
-0.11,-0.06,0.99, 
-0.11,-0.06,1, 
-0.11,-0.06,1, 
-0.11,-0.05,1, 
-0.11,-0.05,1, 
-0.11,-0.06,1, 
-0.12,-0.06,0.99, 
-0.11,-0.06,1, 
-0.1,-0.06,1, 
-0.09,-0.06,1, 
-0.08,-0.06,1, 
-0.06,-0.06,1, 
-0.05,-0.06,1, 
-0.05,-0.06,1, 
-0.05,-0.07,1, 
-0.04,-0.07,1, 
-0.04,-0.07,1, 
-0.04,-0.08,1.01, 
-0.03,-0.07,1.01, 
-0.03,-0.07,1.01, 
-0.03,-0.07,1.01, 
-0.03,-0.07,1.01, 
-0.04,-0.06,1.01, 
-0.04,-0.06,1, 
-0.04,-0.06,1, 
-0.04,-0.06,1, 
-0.04,-0.06,1, 
-0.05,-0.06,1, 
-0.05,-0.06,1, 
-0.06,-0.06,1, 
-0.06,-0.06,1, 
-0.07,-0.06,1, 
-0.07,-0.06,0.99, 
-0.08,-0.06,0.99, 
-0.08,-0.06,0.99, 
-0.08,-0.06,0.98, 
-0.08,-0.06,0.98, 
-0.08,-0.05,0.98, 
-0.09,-0.05,0.98, 
-0.1,-0.05,0.99, 
-0.11,-0.05,1, 
-0.12,-0.06,1.01, 
-0.13,-0.07,1.02, 
-0.14,-0.08,1.02, 
-0.13,-0.08,1.03, 
-0.12,-0.07,1.02, 
-0.11,-0.06,1.01, 
-0.1,-0.06,1, 
-0.1,-0.06,1, 
-0.09,-0.06,0.99, 
-0.08,-0.05,0.99, 
-0.07,-0.05,0.99, 
-0.06,-0.04,0.98, 
-0.06,-0.05,0.99, 
-0.07,-0.05,0.99, 
-0.07,-0.06,1, 
-0.08,-0.07,1, 
-0.08,-0.08,1.01, 
-0.08,-0.08,1.02, 
-0.08,-0.09,1.02, 
-0.08,-0.09,1.01, 
-0.08,-0.08,1, 
-0.08,-0.08,1, 
-0.08,-0.08,0.99, 
-0.08,-0.07,0.99, 
-0.08,-0.07,0.99, 
-0.09,-0.07,0.99, 
-0.08,-0.06,0.99, 
-0.08,-0.06,0.99, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1.01, 
-0.08,-0.06,1.01, 
-0.08,-0.06,1, 
-0.09,-0.06,1, 
-0.09,-0.05,1, 
-0.1,-0.05,1, 
-0.1,-0.05,1, 
-0.1,-0.05,1, 
-0.1,-0.04,1, 
-0.1,-0.05,1, 
-0.1,-0.05,1, 
-0.09,-0.05,1, 
-0.09,-0.06,1, 
-0.09,-0.05,1, 
-0.08,-0.05,1, 
-0.08,-0.05,1, 
-0.08,-0.06,1, 
-0.09,-0.06,0.99, 
-0.09,-0.07,0.99, 
-0.1,-0.07,0.99, 
-0.1,-0.07,0.99, 
-0.1,-0.08,0.99, 
-0.1,-0.08,0.99, 
-0.1,-0.08,0.99, 
-0.1,-0.08,0.99, 
-0.1,-0.08,1, 
-0.1,-0.09,1, 
-0.1,-0.09,1, 
-0.1,-0.09,0.99, 
-0.1,-0.09,0.99, 
-0.1,-0.08,0.99, 
-0.09,-0.08,0.99, 
-0.09,-0.07,1, 
-0.09,-0.07,1, 
-0.09,-0.06,1, 
-0.09,-0.06,1, 
-0.09,-0.06,0.99, 
-0.09,-0.06,0.99, 
-0.09,-0.05,0.99, 
-0.09,-0.05,0.99, 
-0.09,-0.05,0.99, 
-0.09,-0.05,1, 
-0.09,-0.04,1, 
-0.09,-0.04,1, 
-0.09,-0.04,1, 
-0.09,-0.04,1, 
-0.09,-0.03,1, 
-0.09,-0.04,1, 
-0.08,-0.04,1, 
-0.08,-0.05,1, 
-0.07,-0.05,1, 
-0.07,-0.05,1, 
-0.07,-0.05,1, 
-0.07,-0.05,1, 
-0.07,-0.06,1, 
-0.07,-0.06,0.99, 
-0.07,-0.07,0.99, 
-0.07,-0.08,0.99, 
-0.08,-0.09,0.99, 
-0.08,-0.09,1, 
-0.09,-0.1,1, 
-0.09,-0.1,1.01, 
-0.09,-0.1,1.01, 
-0.1,-0.1,1.01, 
-0.09,-0.11,1.01, 
-0.09,-0.1,1.01, 
-0.09,-0.1,1.01, 
-0.1,-0.09,1, 
-0.1,-0.09,1, 
-0.1,-0.08,0.99, 
-0.1,-0.07,0.99, 
-0.1,-0.06,0.99, 
-0.1,-0.06,0.99, 
-0.1,-0.05,0.99, 
-0.11,-0.05,0.99, 
-0.11,-0.04,0.99, 
-0.1,-0.04,1, 
-0.1,-0.04,1, 
-0.1,-0.04,0.99, 
-0.09,-0.04,0.99, 
-0.09,-0.04,0.99, 
-0.09,-0.04,0.99, 
-0.09,-0.04,1, 
-0.09,-0.04,1, 
-0.09,-0.04,1, 
-0.09,-0.04,1, 
-0.08,-0.05,1, 
-0.08,-0.05,1, 
-0.09,-0.05,1, 
-0.09,-0.05,0.99, 
-0.09,-0.05,0.99, 
-0.09,-0.05,0.99, 
-0.1,-0.06,0.99, 
-0.09,-0.07,0.99, 
-0.09,-0.08,0.99, 
-0.09,-0.08,1, 
-0.07,-0.08,1, 
-0.07,-0.08,1, 
-0.07,-0.07,1.01, 
-0.06,-0.08,1.01, 
-0.06,-0.08,1, 
-0.06,-0.08,1.01, 
-0.06,-0.07,1, 
-0.06,-0.07,1, 
-0.06,-0.06,1, 
-0.06,-0.06,1, 
-0.05,-0.06,1, 
-0.05,-0.06,1.01, 
-0.05,-0.06,1, 
-0.06,-0.06,1, 
-0.07,-0.07,1, 
-0.07,-0.06,1, 
-0.08,-0.06,0.88, 
-0.08,-0.06,1, 
-0.08,-0.05,1, 
-0.09,-0.05,0.99, 
-0.09,-0.05,1, 
-0.1,-0.05,1, 
-0.1,-0.05,1, 
-0.1,-0.05,0.99, 
-0.11,-0.05,0.99, 
-0.11,-0.05,0.99, 
-0.11,-0.06,0.99, 
-0.12,-0.06,0.99, 
-0.12,-0.06,0.99, 
-0.12,-0.07,0.99, 
-0.12,-0.07,0.99, 
-0.12,-0.07,0.99, 
-0.12,-0.07,1, 
-0.12,-0.07,0.99, 
-0.12,-0.07,1, 
-0.12,-0.07,1, 
-0.12,-0.07,1, 
-0.12,-0.08,0.99, 
-0.12,-0.08,0.99, 
-0.11,-0.07,0.99, 
-0.1,-0.07,0.99, 
-0.1,-0.07,0.99, 
-0.09,-0.07,0.99, 
-0.08,-0.06,0.99, 
-0.07,-0.06,0.99, 
-0.07,-0.06,0.99, 
-0.06,-0.06,0.99, 
-0.06,-0.06,0.99, 
-0.06,-0.06,1, 
-0.06,-0.06,1, 
-0.06,-0.05,1, 
-0.06,-0.05,1, 
-0.06,-0.05,1, 
-0.06,-0.06,1, 
-0.07,-0.06,1, 
-0.08,-0.07,1, 
-0.09,-0.07,1, 
-0.09,-0.07,1, 
-0.09,-0.06,1.01, 
-0.09,-0.06,1.01, 
-0.09,-0.06,1.01, 
-0.08,-0.06,1.01, 
-0.08,-0.06,1.01, 
-0.08,-0.06,1, 
-0.08,-0.05,1, 
-0.08,-0.05,1, 
-0.08,-0.05,0.99, 
-0.08,-0.05,1, 
-0.08,-0.05,1, 
-0.08,-0.05,1, 
-0.09,-0.04,1, 
-0.09,-0.04,1, 
-0.09,-0.04,1, 
-0.09,-0.05,1, 
-0.09,-0.05,1, 
-0.08,-0.05,1.01, 
-0.09,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,0.99, 
-0.08,-0.06,0.99, 
-0.08,-0.07,0.99, 
-0.08,-0.07,0.99, 
-0.08,-0.07,1, 
-0.08,-0.08,1, 
-0.08,-0.08,1, 
-0.09,-0.09,0.99, 
-0.09,-0.09,1, 
-0.09,-0.09,0.99, 
-0.08,-0.09,1, 
-0.08,-0.09,0.99, 
-0.08,-0.09,0.99, 
-0.08,-0.09,0.99, 
-0.08,-0.08,1, 
-0.08,-0.08,1, 
-0.08,-0.07,1, 
-0.08,-0.07,1, 
-0.08,-0.06,1, 
-0.09,-0.06,1, 
-0.09,-0.06,1.01, 
-0.09,-0.05,1, 
-0.09,-0.05,1, 
-0.08,-0.04,1, 
-0.08,-0.04,1, 
-0.08,-0.04,0.99, 
-0.08,-0.04,0.99, 
-0.08,-0.04,0.99, 
-0.08,-0.03,0.99, 
-0.08,-0.04,0.99, 
-0.08,-0.03,1, 
-0.08,-0.04,1, 
-0.09,-0.04,1, 
-0.09,-0.05,1, 
-0.09,-0.05,1, 
-0.09,-0.05,1, 
-0.09,-0.06,1, 
-0.09,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.07,1, 
-0.08,-0.07,1, 
-0.08,-0.07,1, 
-0.08,-0.07,1, 
-0.08,-0.07,1, 
-0.08,-0.07,0.99, 
-0.08,-0.07,0.99, 
-0.08,-0.07,0.99, 
-0.08,-0.07,0.99, 
-0.08,-0.07,1, 
-0.08,-0.07,1, 
-0.08,-0.07,1, 
-0.08,-0.07,1, 
-0.08,-0.07,1, 
-0.08,-0.07,1, 
-0.08,-0.06,0.99, 
-0.08,-0.06,0.99, 
-0.08,-0.06,0.99, 
-0.08,-0.05,0.99, 
-0.08,-0.05,1, 
-0.08,-0.06,1, 
-0.09,-0.06,1, 
-0.09,-0.06,1, 
-0.09,-0.06,1, 
-0.09,-0.06,1, 
-0.09,-0.06,1, 
-0.09,-0.06,1, 
-0.09,-0.06,1, 
-0.09,-0.06,1, 
-0.09,-0.06,1, 
-0.09,-0.05,0.99, 
-0.09,-0.05,0.99, 
-0.09,-0.05,0.99, 
-0.09,-0.05,0.99, 
-0.09,-0.05,1, 
-0.09,-0.06,1, 
-0.09,-0.06,1, 
-0.09,-0.06,0.99, 
-0.09,-0.06,1, 
-0.09,-0.06,1, 
-0.09,-0.06,1, 
-0.09,-0.06,1, 
-0.09,-0.06,1, 
-0.09,-0.06,1, 
-0.09,-0.06,1, 
-0.09,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,0.99, 
-0.08,-0.05,0.99, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,0.87, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1.12, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,0.99, 
-0.08,-0.06,0.99, 
-0.08,-0.06,0.99, 
-0.09,-0.07,0.99, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.09,-0.06,1, 
-0.09,-0.06,1, 
-0.09,-0.06,0.99, 
-0.09,-0.06,1, 
-0.09,-0.05,1, 
-0.09,-0.05,1, 
-0.09,-0.05,1, 
-0.09,-0.05,1, 
-0.09,-0.05,1, 
-0.09,-0.06,0.99, 
-0.09,-0.05,0.99, 
-0.09,-0.05,0.99, 
-0.09,-0.05,0.99, 
-0.09,-0.06,1, 
-0.09,-0.06,1, 
-0.09,-0.06,1, 
-0.09,-0.06,1, 
-0.09,-0.06,1, 
-0.09,-0.06,0.99, 
-0.09,-0.07,0.99, 
-0.09,-0.07,1, 
-0.09,-0.06,1, 
-0.08,-0.07,1, 
-0.08,-0.07,1, 
-0.08,-0.07,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.07,-0.06,1, 
-0.07,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.05,1, 
-0.08,-0.05,1, 
-0.08,-0.05,1, 
-0.08,-0.06,0.99, 
-0.08,-0.06,0.99, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.09,-0.06,1, 
-0.09,-0.06,1, 
-0.09,-0.06,1, 
-0.09,-0.06,1, 
-0.09,-0.07,1, 
-0.09,-0.07,0.99, 
-0.09,-0.07,0.99, 
-0.09,-0.06,0.99, 
-0.09,-0.06,0.99, 
-0.09,-0.06,0.99, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.09,-0.06,1, 
-0.08,-0.06,1, 
-0.09,-0.06,1, 
-0.09,-0.06,1, 
-0.09,-0.06,1, 
-0.09,-0.05,1, 
-0.09,-0.05,1.12, 
-0.09,-0.05,1, 
-0.09,-0.06,1, 
-0.09,-0.05,1, 
-0.09,-0.06,1, 
-0.09,-0.06,0.99, 
-0.09,-0.06,0.99, 
-0.09,-0.06,0.99, 
-0.09,-0.05,0.99, 
-0.08,-0.05,1, 
-0.08,-0.05,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1.01, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.09,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.07,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,0.99, 
-0.08,-0.06,0.99, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.09,-0.05,1, 
-0.09,-0.05,1, 
-0.09,-0.06,1, 
-0.09,-0.05,1, 
-0.09,-0.05,1, 
-0.09,-0.05,1, 
-0.09,-0.05,1, 
-0.09,-0.05,1, 
-0.09,-0.06,1, 
-0.09,-0.06,0.99, 
-0.09,-0.06,0.99, 
-0.09,-0.06,0.99, 
-0.09,-0.05,0.99, 
-0.09,-0.06,1, 
-0.09,-0.06,1, 
-0.09,-0.06,1, 
-0.09,-0.06,1, 
-0.1,-0.06,1, 
-0.09,-0.06,1, 
-0.09,-0.06,0.99, 
-0.09,-0.06,1, 
-0.09,-0.06,0.99, 
-0.09,-0.06,1, 
-0.09,-0.06,0.99, 
-0.09,-0.06,1, 
-0.09,-0.06,1, 
-0.09,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.05,1, 
-0.08,-0.05,1, 
-0.08,-0.05,1, 
-0.08,-0.05,1, 
-0.08,-0.05,1, 
-0.08,-0.05,1, 
-0.08,-0.06,1, 
-0.08,-0.05,1, 
-0.08,-0.06,1.01, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,0.99, 
-0.09,-0.06,1, 
-0.08,-0.05,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,0.99, 
-0.09,-0.06,0.99, 
-0.09,-0.06,0.99, 
-0.09,-0.06,1, 
-0.09,-0.06,1, 
-0.09,-0.05,1, 
-0.09,-0.05,1, 
-0.09,-0.05,1, 
-0.09,-0.06,1, 
-0.09,-0.05,0.99, 
-0.09,-0.05,0.99, 
-0.09,-0.05,1, 
-0.09,-0.05,1, 
-0.09,-0.05,1, 
-0.09,-0.05,1, 
-0.09,-0.06,1, 
-0.09,-0.06,1, 
-0.09,-0.06,0.99, 
-0.09,-0.06,1, 
-0.09,-0.05,1, 
-0.09,-0.05,1, 
-0.09,-0.05,1, 
-0.08,-0.06,1, 
-0.09,-0.06,1, 
-0.08,-0.06,1, 
-0.09,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.05,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.07,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,0.88, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.05,1, 
-0.08,-0.05,1, 
-0.09,-0.05,1, 
-0.09,-0.05,1, 
-0.09,-0.05,0.99, 
-0.09,-0.05,1, 
-0.09,-0.05,1, 
-0.09,-0.06,1, 
-0.09,-0.06,1, 
-0.09,-0.05,1, 
-0.09,-0.05,1, 
-0.09,-0.06,1, 
-0.09,-0.05,0.99, 
-0.09,-0.05,1, 
-0.09,-0.05,1, 
-0.09,-0.05,0.99, 
-0.09,-0.05,1, 
-0.09,-0.05,1, 
-0.09,-0.05,1, 
-0.09,-0.05,1, 
-0.09,-0.06,1, 
-0.09,-0.05,1, 
-0.09,-0.06,1, 
-0.09,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,0.99, 
-0.08,-0.06,0.99, 
-0.08,-0.06,0.99, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.05,0.99, 
-0.08,-0.05,1, 
-0.08,-0.05,1, 
-0.08,-0.05,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.05,1, 
-0.08,-0.05,1, 
-0.08,-0.05,1, 
-0.09,-0.05,1, 
-0.09,-0.06,1, 
-0.09,-0.06,1, 
-0.09,-0.05,0.99, 
-0.09,-0.05,0.99, 
-0.09,-0.05,0.99, 
-0.09,-0.05,1, 
-0.09,-0.06,1, 
-0.09,-0.06,1, 
-0.09,-0.06,1, 
-0.09,-0.06,1, 
-0.09,-0.05,1, 
-0.09,-0.05,1, 
-0.09,-0.05,1, 
-0.09,-0.05,1, 
-0.09,-0.05,1, 
-0.09,-0.06,1, 
-0.09,-0.06,1, 
-0.09,-0.05,1, 
-0.08,-0.06,1, 
-0.08,-0.05,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.05,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.05,1, 
-0.08,-0.05,0.99, 
-0.09,-0.05,1, 
-0.08,-0.06,1, 
-0.09,-0.06,1, 
-0.09,-0.06,1, 
-0.09,-0.06,1, 
-0.09,-0.05,1, 
-0.09,-0.05,1, 
-0.09,-0.05,1, 
-0.09,-0.05,1, 
-0.09,-0.06,1, 
-0.09,-0.06,1, 
-0.09,-0.06,0.99, 
-0.09,-0.06,1, 
-0.09,-0.06,0.99, 
-0.09,-0.06,1, 
-0.09,-0.06,1, 
-0.09,-0.06,1, 
-0.09,-0.06,1, 
-0.09,-0.06,0.99, 
-0.09,-0.06,0.99, 
-0.09,-0.06,1, 
-0.09,-0.06,1, 
-0.09,-0.06,1, 
-0.08,-0.05,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.05,1, 
-0.08,-0.05,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.05,1, 
-0.08,-0.06,1, 
-0.08,-0.05,1, 
-0.09,-0.06,1, 
-0.08,-0.06,1, 
-0.09,-0.05,1, 
-0.09,-0.05,1, 
-0.09,-0.05,1, 
-0.09,-0.05,1, 
-0.09,-0.05,1, 
-0.08,-0.05,1, 
-0.08,-0.05,1, 
-0.08,-0.06,1, 
-0.08,-0.05,1, 
-0.08,-0.05,1, 
-0.08,-0.05,1, 
-0.08,-0.05,0.99, 
-0.08,-0.06,0.99, 
-0.09,-0.06,1, 
-0.09,-0.06,1, 
-0.09,-0.06,1, 
-0.09,-0.06,1, 
-0.09,-0.06,1, 
-0.09,-0.06,1, 
-0.08,-0.07,1, 
-0.09,-0.06,1, 
-0.09,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,0.99, 
-0.08,-0.06,0.99, 
-0.08,-0.05,1, 
-0.08,-0.05,1, 
-0.09,-0.05,1, 
-0.08,-0.05,1, 
-0.08,-0.05,1, 
-0.09,-0.06,1, 
-0.09,-0.06,1, 
-0.09,-0.05,1, 
-0.09,-0.05,1, 
-0.09,-0.05,1, 
-0.09,-0.05,1, 
-0.08,-0.05,1, 
-0.08,-0.05,1, 
-0.09,-0.05,1, 
-0.08,-0.05,1, 
-0.08,-0.05,1, 
-0.08,-0.05,1, 
-0.08,-0.05,1, 
-0.08,-0.05,1, 
-0.08,-0.06,1, 
-0.08,-0.05,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.09,-0.06,1, 
-0.09,-0.06,1, 
-0.09,-0.06,1, 
-0.09,-0.06,0.99, 
-0.09,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1.12, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.09,-0.06,1, 
-0.09,-0.06,1, 
-0.09,-0.05,1, 
-0.08,-0.05,1, 
-0.09,-0.05,1, 
-0.09,-0.06,1, 
-0.09,-0.06,0.99, 
-0.09,-0.06,0.99, 
-0.09,-0.05,1, 
-0.09,-0.05,1, 
-0.08,-0.05,1, 
-0.08,-0.05,1, 
-0.09,-0.05,1, 
-0.08,-0.06,1, 
-0.09,-0.06,1, 
-0.09,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.05,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.05,1, 
-0.08,-0.06,1, 
-0.08,-0.05,0.99, 
-0.08,-0.05,1, 
-0.08,-0.05,1, 
-0.08,-0.05,1, 
-0.08,-0.05,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.05,1, 
-0.08,-0.05,1, 
-0.08,-0.05,1, 
-0.08,-0.05,1, 
-0.09,-0.05,1, 
-0.09,-0.05,1, 
-0.08,-0.05,1, 
-0.09,-0.05,1, 
-0.09,-0.05,0.99, 
-0.09,-0.05,0.99, 
-0.09,-0.05,0.99, 
-0.09,-0.05,0.99, 
-0.09,-0.06,0.99, 
-0.09,-0.05,1, 
-0.09,-0.06,1, 
-0.08,-0.05,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,0.99, 
-0.08,-0.06,0.99, 
-0.08,-0.06,0.99, 
-0.09,-0.06,0.99, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.05,1, 
-0.08,-0.05,1, 
-0.08,-0.05,1, 
-0.08,-0.05,1, 
-0.08,-0.05,1, 
-0.08,-0.05,1, 
-0.08,-0.05,1, 
-0.09,-0.05,0.99, 
-0.09,-0.05,0.99, 
-0.09,-0.05,0.99, 
-0.09,-0.05,0.99, 
-0.09,-0.05,1, 
-0.09,-0.05,1, 
-0.09,-0.05,1, 
-0.09,-0.05,1, 
-0.09,-0.05,1, 
-0.09,-0.05,1, 
-0.09,-0.05,1, 
-0.09,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,0.99, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,1, 
-0.08,-0.06,0.99, 
-0.08,-0.06,0.99, 
-0.09,-0.06,1, 
-0.08,-0.05,1, 
-0.08,-0.05,1, 
-0.08,-0.05,1, 
-0.08,-0.05,1, 
-0.08,-0.05,1, 
-0.08,-0.05,1, 
-0.08,-0.05,0.99, 
-0.08,-0.05,0.99, 
-0.08,-0.05,1, 
-0.08,-0.05,1, 
-0.08,-0.05,1, 
-0.08,-0.05,1, 
-0.08,-0.05,1, 
-0.09,-0.06,1, 
-0.09,-0.06,0.99, 
-0.09,-0.06,1, 
-0.09,-0.06,1, 
-0.09,-0.05,1, 
